구별,2013결혼,2013이혼,2014결혼,2014이혼,2015결혼,2016이혼,2016결혼,2016이혼,2017결혼,2017이혼
서울평균,"2,753",805,"2,593",779,"2,618",727,"2,306",711,"2,151",683
종로구,877,348,840,341,806,276,760,260,700,265
중구,860,320,851,288,916,267,799,249,792,253
용산구,"1,795",450,"1,560",471,"1,515",424,"1,366",441,"1,357",389
성동구,"2,432",613,"2,125",596,"2,083",563,"1,944",547,"2,096",509
광진구,"2,685",743,"2,589",713,"2,576",651,"2,285",649,"2,082",612
동대문구,"2,327",740,"2,123",770,"2,159",714,"1,796",666,"1,657",624
중랑구,"2,813","1,040","2,769","1,105","2,716","1,028","2,591",933,"2,302",956
성북구,"2,809",934,"2,415",907,"2,379",823,"2,131",833,"1,917",732
강북구,"1,975",848,"1,819",831,"1,715",738,"1,500",722,"1,436",742
도봉구,"2,062",801,"1,791",777,"1,810",728,"1,636",670,"1,543",666
노원구,"3,432","1,075","3,176","1,067","3,146",984,"2,778",955,"2,420","1,003"
은평구,"3,277","1,073","2,916",980,"2,812",948,"2,573",947,"2,331",917
서대문구,"1,974",612,"1,732",538,"1,722",528,"1,660",532,"1,546",485
마포구,"2,986",718,"2,827",636,"3,205",613,"2,588",636,"2,294",576
양천구,"2,644",910,"2,490",873,"2,516",775,"2,258",821,"2,021",700
강서구,"4,331","1,181","4,338","1,092","4,578","1,118","4,111","1,112","4,069","1,120"
구로구,"3,357",883,"3,156",826,"3,045",817,"2,674",783,"2,460",775
금천구,"1,594",623,"1,556",603,"1,481",557,"1,324",535,"1,439",525
영등포구,"3,086",817,"2,951",773,"2,934",726,"2,609",693,"2,539",628
동작구,"3,130",658,"2,962",715,"2,855",632,"2,514",590,"2,282",598
관악구,"4,183","1,089","3,949","1,005","3,859",896,"3,537",926,"3,205",817
서초구,"2,988",633,"2,871",626,"2,846",597,"2,676",565,"2,288",561
강남구,"3,591",884,"3,560",899,"3,380",852,"3,032",867,"2,677",805
송파구,"4,445","1,140","4,480","1,121","4,386","1,069","4,102","1,039","3,896","1,041"
강동구,"3,166",993,"2,977",924,"2,753",852,"2,399",806,"2,427",784
